project_name,id,type,fromDate,toDate, amount,cumulative
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,13,تعدیل,1404/06/01,1404/08/30,112318792461,846049410246
پروژه احداث مهمانسرای (هتل) مجتمع مس شهر بابک,14,تعدیل,1404/06/02,1404/08/31,203532772654,1049582182900
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",1,تعدیل,1399/06/05,1399/06/31,345040500,345040500
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",2,تعدیل,1399/07/01,1399/07/30,9035266777,9380307277
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",3,تعدیل,1399/08/01,1399/08/30,3917920722,13298227999
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",4,تعدیل,1399/09/01,1399/09/30,2099297968,15397525967
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",5,تعدیل,1399/10/01,1399/10/30,5228471983,20625997950
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",6,تعدیل,1399/11/01,1399/11/30,14791209678,35417207628
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",7,تعدیل,1399/01/01,1399/12/30,3930902991,39348110619
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",8,تعدیل,1400/01/01,1400/01/31,20260294618,59608405237
"عملیات اجرایى و ایمن‌سازى پایاب سیستم تخلیه سیلاب سرریز، جاده دسترسى و کارهاى باقیمانده سد نرماشیر(نساء)",9,تعدیل,1400/02/01,1400/02/31,11761314429,71369719666
